Date,Price Index,Index Type
1/11/2000,103.6,Dairy
1/12/2000,104.4,Dairy
1/1/2001,103.9,Dairy
1/2/2001,103.5,Dairy
1/3/2001,104.7,Dairy
1/4/2001,104.9,Dairy
1/5/2001,109.2,Dairy
1/6/2001,109.8,Dairy
1/7/2001,110.6,Dairy
1/8/2001,109.6,Dairy
1/9/2001,109,Dairy
1/10/2001,110.7,Dairy
1/11/2001,107.3,Dairy
1/12/2001,101.5,Dairy
1/1/2002,94.8,Dairy
1/2/2002,94.8,Dairy
1/3/2002,91.2,Dairy
1/4/2002,88.2,Dairy
1/5/2002,80.7,Dairy
1/6/2002,76.3,Dairy
1/7/2002,72.7,Dairy
1/8/2002,71.7,Dairy
1/9/2002,73.9,Dairy
1/10/2002,75.8,Dairy
1/11/2002,80.5,Dairy
1/12/2002,86.4,Dairy
1/1/2003,89.3,Dairy
1/2/2003,92.7,Dairy
1/3/2003,93.8,Dairy
1/4/2003,92,Dairy
1/5/2003,91.7,Dairy
1/6/2003,91.6,Dairy
1/7/2003,92.7,Dairy
1/8/2003,93.6,Dairy
1/9/2003,96.5,Dairy
1/10/2003,100.6,Dairy
1/11/2003,102.4,Dairy
1/12/2003,104.5,Dairy
1/1/2004,106.8,Dairy
1/2/2004,113,Dairy
1/3/2004,114.7,Dairy
1/4/2004,115.7,Dairy
1/5/2004,119.1,Dairy
1/6/2004,124.2,Dairy
1/7/2004,127.4,Dairy
1/8/2004,127.7,Dairy
1/9/2004,128.8,Dairy
1/10/2004,129.6,Dairy
1/11/2004,131.8,Dairy
1/12/2004,132.9,Dairy
1/1/2005,133.6,Dairy
1/2/2005,134.3,Dairy
1/3/2005,135,Dairy
1/4/2005,133.6,Dairy
1/5/2005,134.2,Dairy
1/6/2005,133.9,Dairy
1/7/2005,135.1,Dairy
1/8/2005,137.3,Dairy
1/9/2005,138,Dairy
1/10/2005,137.6,Dairy
1/11/2005,136.7,Dairy
1/12/2005,134.9,Dairy
1/1/2006,130.3,Dairy
1/2/2006,130.5,Dairy
1/3/2006,128,Dairy
1/4/2006,125.4,Dairy
1/5/2006,124.9,Dairy
1/6/2006,124.6,Dairy
1/7/2006,125,Dairy
1/8/2006,123.2,Dairy
1/9/2006,123.3,Dairy
1/10/2006,125.9,Dairy
1/11/2006,132.3,Dairy
1/12/2006,142.2,Dairy
1/1/2007,146.3,Dairy
1/2/2007,153.1,Dairy
1/3/2007,159.3,Dairy
1/4/2007,175.7,Dairy
1/5/2007,181.1,Dairy
1/6/2007,209,Dairy
1/7/2007,234.1,Dairy
1/8/2007,245.7,Dairy
1/9/2007,252.4,Dairy
1/10/2007,257.1,Dairy
1/11/2007,268.6,Dairy
1/12/2007,266.2,Dairy
1/1/2008,255.7,Dairy
1/2/2008,252.1,Dairy
1/3/2008,248.7,Dairy
1/4/2008,241.7,Dairy
1/5/2008,239.9,Dairy
1/6/2008,240.6,Dairy
1/7/2008,238.9,Dairy
1/8/2008,227.2,Dairy
1/9/2008,203.2,Dairy
1/10/2008,185,Dairy
1/11/2008,159.6,Dairy
1/12/2008,142,Dairy
1/1/2009,122.2,Dairy
1/2/2009,114.3,Dairy
1/3/2009,117.7,Dairy
1/4/2009,117.4,Dairy
1/5/2009,123.7,Dairy
1/6/2009,122.8,Dairy
1/7/2009,125.9,Dairy
1/8/2009,129.3,Dairy
1/9/2009,144,Dairy
1/10/2009,157.5,Dairy
1/11/2009,208.1,Dairy
1/12/2009,215.6,Dairy
1/1/2010,202,Dairy
1/2/2010,191.4,Dairy
1/3/2010,187.4,Dairy
1/4/2010,204.3,Dairy
1/5/2010,209.2,Dairy
1/6/2010,203.1,Dairy
